sleep(1), delta, zwres
1.0105, 0.0105, 25*
1.0067, 0.0067, 38*
1.0080, 0.0080, 51*
1.0093, 0.0093, 64*
1.0086, 0.0086, 76*
1.0113, 0.0113, 89*
1.0128, 0.0128, 102*
1.0123, 0.0123, 115*
1.0104, 0.0104, 128*
1.0127, 0.0127, 141*
1.0132, 0.0132, 153*
1.0143, 0.0143, 166*
1.0199, 0.0199, 179
1.0178, 0.0178, 192
1.0219, 0.0219, 205
1.0215, 0.0215, 218
1.0128, 0.0128, 230*
1.0211, 0.0211, 243
1.0234, 0.0234, 256
1.0204, 0.0204, 269
1.0137, 0.0137, 282*
1.0289, 0.0289, 295
1.0129, 0.0129, 307*
1.0224, 0.0224, 320
1.0305, 0.0305, 333
1.0354, 0.0354, 346
1.0378, 0.0378, 359
1.0406, 0.0406, 372
1.0354, 0.0354, 384
1.0302, 0.0302, 397
1.0229, 0.0229, 410
1.0134, 0.0134, 423*
1.0437, 0.0437, 436
1.0128, 0.0128, 461*
1.0413, 0.0413, 474
1.0205, 0.0205, 487
1.0474, 0.0474, 500
1.0241, 0.0241, 513
1.0494, 0.0494, 525
1.0212, 0.0212, 538
1.0460, 0.0460, 551
1.0135, 0.0135, 564*
1.0349, 0.0349, 577
1.0594, 0.0594, 590
1.0223, 0.0223, 602
1.0435, 0.0435, 615
1.0629, 0.0629, 628
1.0231, 0.0231, 641
1.0443, 0.0443, 654
1.0654, 0.0654, 667
1.0175, 0.0175, 679
1.0359, 0.0359, 692
1.0555, 0.0555, 705
1.0753, 0.0753, 718
1.0212, 0.0212, 731
1.0382, 0.0382, 744
1.0572, 0.0572, 756
1.0762, 0.0762, 769
1.0148, 0.0148, 782*
1.0320, 0.0320, 795
1.0486, 0.0486, 808
1.0657, 0.0657, 821
1.0821, 0.0821, 833
1.0138, 0.0138, 846*
1.0290, 0.0290, 859
1.0451, 0.0451, 872
1.0603, 0.0603, 885
1.0749, 0.0749, 898
1.0907, 0.0907, 910
1.0147, 0.0147, 923*
1.0281, 0.0281, 936
1.0419, 0.0419, 949
1.0550, 0.0550, 962
1.0712, 0.0712, 975
1.0837, 0.0837, 987
1.0984, 0.0984, 1000
1.0115, 0.0115, 1013*
